vorname;anzahl;geschlecht
Sophie;139;w
Marie;128;w
Maximilian;104;m
Maria;97;w
Alexander;84;m
Jonas;63;m
Paul;63;m
Anna;63;w
Elias;60;m
Johanna;57;w
Ben;53;m
Emma;50;w
Emil;48;m
Sophia;47;w
Jakob;47;m
Noah;47;m
Emilia;46;w
Mia;45;w
Julian;45;m
Lena;44;w
Jan;43;m
Felix;42;m
Luisa;41;w
Elisabeth;40;w
David;40;m
Lea;40;w
Anton;38;m
Laura;37;w
Lukas;37;m
Leonie;37;w
Moritz;37;m
Charlotte;36;w
Jonathan;36;m
Clara;35;w
Leo;35;m
Lina;34;w
Johann;34;m
Leonard;34;m
Amelie;33;w
Hannah;33;w
Philipp;33;m
Katharina;33;w
Johannes;32;m
Marlene;32;w
Leon;31;m
Luca;31;m
Greta;30;w
Samuel;30;m
Tim;30;m
Finn;29;m
Luise;28;w
Louis;28;m
Emily;27;w
Julia;27;w
Henri;27;m
Max;27;m
Tom;27;m
Elisa;26;w
Paula;26;w
Benjamin;26;m
Pia;25;w
Niklas;25;m
Julius;24;m
Peter;24;m
Vincent;24;m
Ella;23;w
Adrian;23;m
Friedrich;23;m
Linus;23;m
Simon;23;m
Helene;22;w
Lara;22;w
Mila;22;w
Karl;22;m
Sofia;21;w
Daniel;21;m
Fabian;21;m
Luis;21;m
Theodor;21;m
Helena;20;w
Ida;20;w
Christian;20;m
Florian;20;m
Konstantin;20;m
Oskar;20;m
Valentin;20;m
Pauline;19;w
Victoria;19;w
Benedikt;19;m
Georg;19;m
Justus;19;m
Mats;19;m
Michael;19;m
Josephine;18;w
Liam;18;m
Mika;18;m
Leni;17;w
Adam;17;m
Frederik;17;m
Alina;16;w
Carlotta;16;w
Hanna;16;w
Jana;16;w
Lilly;16;w
Mathilda;16;w
Nele;16;w
Nora;16;w
Sarah;16;w
Damian;16;m
Erik;16;m
Henry;16;m
Levi;16;m
Matthias;16;m
Maya;15;w
Mira;15;w
Valentina;15;w
Andreas;15;m
Joshua;15;m
Noel;15;m
Tobias;15;m
Antonia;14;w
Eva;14;w
Isabella;14;w
Klara;14;w
Linda;14;w
Melina;14;w
Gabriel;14;m
Lasse;14;m
Wilhelm;14;m
Franziska;13;w
Frida;13;w
Carl;13;m
Clemens;13;m
Joel;13;m
Milan;13;m
Ole;13;m
Sebastian;13;m
Theo;13;m
Louisa;12;w
Maja;12;w
Matilda;12;w
Sara;12;w
Zoe;12;w
Ibrahim;12;m
Leander;12;m
Lennard;12;m
Thomas;12;m
Timo;12;m
Alexandra;11;w
Josefine;11;w
Jule;11;w
Lisa;11;w
Magdalena;11;w
Mara;11;w
Sofie;11;w
Aaron;11;m
Ali;11;m
Ferdinand;11;m
Hamza;11;m
Maxim;11;m
Mohamed;11;m
Philip;11;m
Robin;11;m
Lucia;10;w
Olivia;10;w
Constantin;10;m
Jona;10;m
Magnus;10;m
Marlon;10;m
Nico;10;m
Amy;9;w
Annika;9;w
Martha;9;w
Merle;9;w
Stella;9;w
Viktoria;9;w
Fritz;9;m
Fynn;9;m
Jasper;9;m
Josef;9;m
Leonhard;9;m
Leopold;9;m
Lucas;9;m
Marius;9;m
Martin;9;m
Matteo;9;m
Mohammed;9;m
Mustafa;9;m
Nick;9;m
Oliver;9;m
Robert;9;m
Amalia;8;w
Angelina;8;w
Christina;8;w
Elena;8;w
Lotta;8;w
Mina;8;w
Mona;8;w
Paulina;8;w
Ronja;8;w
Thea;8;w
Theresa;8;w
Ahmed;8;m
Arthur;8;m
Christopher;8;m
Emir;8;m
Franz;8;m
Frederick;8;m
Heinrich;8;m
Ilias;8;m
Jacob;8;m
Jonah;8;m
Kilian;8;m
Lars;8;m
Lian;8;m
Malte;8;m
Mateo;8;m
Nikolas;8;m
Nils;8;m
Rafael;8;m
Till;8;m
Amelia;7;w
Carla;7;w
Elif;7;w
Elina;7;w
Elise;7;w
Emilie;7;w
Joleen;7;w
Larissa;7;w
Livia;7;w
Lotte;7;w
Margarete;7;w
Nina;7;w
Rosa;7;w
Zoé;7;w
Abdullah;7;m
Alessandro;7;m
Can;7;m
Caspar;7;m
Emanuel;7;m
Emilio;7;m
Gustav;7;m
Hendrik;7;m
Ilyas;7;m
Luke;7;m
Malik;7;m
Marvin;7;m
