vorname;anzahl;geschlecht;position
Marie;90;w;2
Sophie;84;w;2
Alexander;60;m;2
Maximilian;59;m;1
Maria;58;w;2
Emilia;51;w;1
Paul;50;m;1
Emma;50;w;1
Noah;49;m;1
Jonas;48;m;1
Ben;47;m;1
Leon;46;m;1
Felix;45;m;1
Elias;43;m;1
Mia;42;w;1
Lena;40;w;1
Marie;40;w;1
Maximilian;39;m;2
Benjamin;37;m;1
David;36;m;1
Mila;35;w;1
Jonathan;35;m;1
Julian;35;m;1
Anna;34;w;1
Alexander;34;m;1
Jakob;34;m;1
Anton;33;m;1
Sophia;32;w;1
Leo;32;m;1
Jan;31;m;1
Emil;30;m;1
Lukas;30;m;1
Hannah;29;w;1
Laura;29;w;1
Leonie;29;w;1
Katharina;28;w;2
Finn;28;m;1
Liam;28;m;1
Sophie;27;w;1
Henry;27;m;1
Charlotte;26;w;1
Leonard;25;m;1
Moritz;25;m;1
Elias;24;m;2
Ella;24;w;1
Greta;24;w;1
Johanna;24;w;1
Paula;24;w;1
Henri;24;m;1
Milan;24;m;1
Charlotte;23;w;2
Emilia;23;w;2
Lea;23;w;1
Tim;23;m;1
Paul;22;m;2
Amelie;22;w;1
Emily;22;w;1
Luisa;22;w;1
Luca;22;m;1
Max;21;m;1
Tom;21;m;1
Clara;20;w;1
Sarah;20;w;1
Julius;20;m;1
Johanna;19;w;2
Ida;19;w;1
Adam;19;m;1
Linus;19;m;1
Louis;19;m;1
Lara;18;w;1
Lina;18;w;1
Louisa;18;w;1
Daniel;18;m;1
Johann;18;m;1
Matteo;18;m;1
Oskar;18;m;1
Philipp;18;m;1
Julia;17;w;1
Mina;17;w;1
Nele;17;w;1
Nora;17;w;1
Pauline;17;w;1
Erik;17;m;1
Mats;17;m;1
Theo;17;m;1
Elisabeth;16;w;2
Helena;16;w;1
Leni;16;w;1
Lisa;16;w;1
Marlene;16;w;1
Christian;16;m;1
Florian;16;m;1
Joshua;16;m;1
Levi;16;m;1
Luis;16;m;1
Niklas;16;m;1
Theodor;16;m;1
Hanna;15;w;1
Johannes;15;m;1
Konstantin;15;m;1
Vincent;15;m;1
Benjamin;14;m;2
Friedrich;14;m;2
Luca;14;m;2
Frieda;14;w;1
Maria;14;w;1
Melina;14;w;1
Fabian;14;m;1
Raphael;14;m;1
Johannes;13;m;2
Michael;13;m;2
Elisa;13;w;1
Luise;13;w;1
Mara;13;w;1
Mira;13;w;1
Romy;13;w;1
Ronja;13;w;1
Sara;13;w;1
Aaron;13;m;1
Mateo;13;m;1
Mohamed;13;m;1
Luisa;12;w;2
Ali;12;m;2
Luise;12;w;2
Johann;12;m;2
Jonathan;12;m;2
Antonia;12;w;1
Eva;12;w;1
Pia;12;w;1
Victoria;12;w;1
Adrian;12;m;1
Amir;12;m;1
Hannes;12;m;1
Karl;12;m;1
Mika;12;m;1
Samuel;12;m;1
Simon;12;m;1
Yusuf;12;m;1
Nur;11;w;2
Sophia;11;w;2
David;11;m;2
Felix;11;m;2
Georg;11;m;2
Henri;11;m;2
Jakob;11;m;2
Leonard;11;m;2
Alina;11;w;1
Frida;11;w;1
Luna;11;w;1
Maya;11;w;1
Olivia;11;w;1
Sofia;11;w;1
Gabriel;11;m;1
Ibrahim;11;m;1
Ilyas;11;m;1
Kilian;11;m;1
Mohammed;11;m;1
Tobias;11;m;1
Maria;10;w;3
Anton;10;m;2
Martin;10;m;2
