vorname;anzahl;geschlecht;position
Marie;74;w;2
Sophie;59;w;2
Emma;53;w;1
Marie;47;w;1
Noah;46;m;1
Maria;42;w;2
Paul;41;m;1
Emilia;39;w;1
Elias;39;m;1
Leon;38;m;1
Clara;35;w;1
Mia;35;w;1
Anton;35;m;1
Emil;35;m;1
Luca;34;m;1
Mila;32;w;1
Felix;32;m;1
Theo;31;m;1
Ella;30;w;1
Lina;30;w;1
Charlotte;29;w;1
Sophia;29;w;1
Leo;29;m;1
Jakob;28;m;1
Amelie;27;w;1
Ida;27;w;1
Ben;27;m;1
Jonathan;27;m;1
Liam;27;m;1
Milan;27;m;1
Henry;26;m;1
Leni;25;w;1
Adam;25;m;1
Alexander;25;m;2
Jonas;24;m;1
Luisa;23;w;1
Mats;23;m;1
Lia;22;w;1
Lea;21;w;1
Mathilda;21;w;1
Levi;21;m;1
Maximilian;21;m;1
Sophia;21;w;2
Maximilian;21;m;2
Emily;20;w;1
Charlotte;20;w;2
Emilia;20;w;2
Leonie;19;w;1
Mira;19;w;1
Nora;19;w;1
Benjamin;19;m;1
Finn;19;m;1
Jan;19;m;1
Moritz;19;m;1
Elisabeth;19;w;2
Elisa;18;w;1
Hannah;18;w;1
Lotta;18;w;1
David;18;m;1
Gabriel;18;m;1
Toni;18;m;1
Malia;17;w;1
Marlene;17;w;1
Paulina;17;w;1
Sophie;17;w;1
Lio;17;m;1
Oskar;17;m;1
Elias;17;m;2
Paul;17;m;2
Amira;16;w;1
Jana;16;w;1
Johanna;16;w;1
Lara;16;w;1
Nele;16;w;1
Carlo;16;m;1
Matteo;16;m;1
Max;16;m;1
Isabella;15;w;1
Romy;15;w;1
Ilyas;15;m;1
Jonah;15;m;1
Leonard;15;m;1
Lukas;15;m;1
Malik;15;m;1
Milo;15;m;1
Emil;15;m;2
Alma;14;w;1
Eva;14;w;1
Lena;14;w;1
Ronja;14;w;1
Tilda;14;w;1
Aaron;14;m;1
Alexander;14;m;1
Julian;14;m;1
Vincent;14;m;1
Johanna;14;w;2
Anton;14;m;2
Josef;14;m;2
Amalia;13;w;1
Anna;13;w;1
Antonia;13;w;1
Ava;13;w;1
Helena;13;w;1
Luna;13;w;1
Olivia;13;w;1
Jannis;13;m;1
Katharina;13;w;2
Laura;12;w;1
Lilly;12;w;1
Livia;12;w;1
Merle;12;w;1
Paula;12;w;1
Henri;12;m;1
Jona;12;m;1
Luis;12;m;1
Mika;12;m;1
Samuel;12;m;1
Amina;11;w;1
Aurelia;11;w;1
Elena;11;w;1
Elina;11;w;1
Frida;11;w;1
Julia;11;w;1
Klara;11;w;1
Maja;11;w;1
Maria;11;w;1
Adrian;11;m;1
Joshua;11;m;1
Justus;11;m;1
Karl;11;m;1
Maxim;11;m;1
Niklas;11;m;1
Benjamin;11;m;2
Gabriel;11;m;2
Johann;11;m;2
Johannes;11;m;2
Maya;10;w;1
Melina;10;w;1
Pauline;10;w;1
Sara;10;w;1
Sofia;10;w;1
Victoria;10;w;1
Daniel;10;m;1
Enno;10;m;1
Luan;10;m;1
Mateo;10;m;1
Miran;10;m;1
Mohamed;10;m;1
Yusuf;10;m;1
Felix;10;m;2
Karl;10;m;2
Alea;9;w;1
Amaya;9;w;1
Ayla;9;w;1
Edda;9;w;1
Frieda;9;w;1
Juna;9;w;1
Liana;9;w;1
Mara;9;w;1
Nelia;9;w;1
Carl;9;m;1
Constantin;9;m;1
Fiete;9;m;1
Hamza;9;m;1
Johann;9;m;1
Louis;9;m;1
Malte;9;m;1
Marlon;9;m;1
Mohammad;9;m;1
Muhammad;9;m;1
Nils;9;m;1
Philipp;9;m;1
Theodor;9;m;1
Tim;9;m;1
Luisa;9;w;2
David;9;m;2
Michael;9;m;2
Theo;9;m;2
Amelia;8;w;1
Dua;8;w;1
Ela;8;w;1
Elif;8;w;1
Layan;8;w;1
Lilli;8;w;1
Louisa;8;w;1
Mariam;8;w;1
Matilda;8;w;1
Medina;8;w;1
Rosa;8;w;1
Thea;8;w;1
Ali;8;m;1
Amir;8;m;1
Arian;8;m;1
Elian;8;m;1
Julius;8;m;1
Kilian;8;m;1
Leonardo;8;m;1
Lino;8;m;1
Linus;8;m;1
Till;8;m;1
Tom;8;m;1
Valentin;8;m;1
Aurelia;8;w;2
Elise;8;w;2
Luise;8;w;2
Leo;8;m;2
Levi;8;m;2
Ludwig;8;m;2
Peter;8;m;2
Thomas;8;m;2
Hanna;7;w;1
Liv;7;w;1
Luise;7;w;1
Malina;7;w;1
Noemi;7;w;1
Pia;7;w;1
Theresa;7;w;1
Ahmad;7;m;1
Issa;7;m;1
Jaron;7;m;1
Levin;7;m;1
Nael;7;m;1
Ole;7;m;1
Rafael;7;m;1
Raphael;7;m;1
Sam;7;m;1
Antonia;7;w;2
Marlene;7;w;2
Victoria;7;w;2
Andreas;7;m;2
Henri;7;m;2
Jakob;7;m;2
Louis;7;m;2
Martin;7;m;2
Matteo;7;m;2
Noah;7;m;2
Valentin;7;m;2
Aaliyah;6;w;1
Amara;6;w;1
Aurora;6;w;1
Diana;6;w;1
Emmi;6;w;1
Isabelle;6;w;1
Josephine;6;w;1
Liliana;6;w;1
Linda;6;w;1
Lotte;6;w;1
Luana;6;w;1
Lucia;6;w;1
Malak;6;w;1
Martha;6;w;1
Mina;6;w;1
Nour;6;w;1
Rosalie;6;w;1
Sarah;6;w;1
Zoe;6;w;1
Ayan;6;m;1
Bruno;6;m;1
Damian;6;m;1
Emilian;6;m;1
Erik;6;m;1
Fritz;6;m;1
Jamal;6;m;1
Johannes;6;m;1
Jonte;6;m;1
Juri;6;m;1
Lasse;6;m;1
Leano;6;m;1
Lion;6;m;1
Luka;6;m;1
Martin;6;m;1
Mohammed;6;m;1
Muhammed;6;m;1
Musa;6;m;1
Nico;6;m;1
Richard;6;m;1
Simon;6;m;1
Zayn;6;m;1
Amelie;6;w;2
Anna;6;w;2
Ida;6;w;2
Isabella;6;w;2
Josefine;6;w;2
Lou;6;w;2
Valentina;6;w;2
Ali;6;m;2
Georg;6;m;2
Matthias;6;m;2
Maria;6;w;3
Marie;6;w;3
Alina;5;w;1
Anastasia;5;w;1
Carla;5;w;1
Finja;5;w;1
Fiona;5;w;1
Freya;5;w;1
Inaya;5;w;1
Jule;5;w;1
Katharina;5;w;1
Khadija;5;w;1
Kiara;5;w;1
Kira;5;w;1
Liya;5;w;1
Madita;5;w;1
Malea;5;w;1
Malou;5;w;1
Marla;5;w;1
Maryam;5;w;1
Sina;5;w;1
Valeria;5;w;1
Zeynep;5;w;1
Ayaz;5;m;1
Bela;5;m;1
Dean;5;m;1
Emilio;5;m;1
Emir;5;m;1
Ferdinand;5;m;1
Frederik;5;m;1
Hannes;5;m;1
Ibrahim;5;m;1
Ismail;5;m;1
Ivan;5;m;1
Jannik;5;m;1
Kaan;5;m;1
Karim;5;m;1
Kiyan;5;m;1
Konstantin;5;m;1
Luke;5;m;1
Mark;5;m;1
Nick;5;m;1
Nikolas;5;m;1
Younes;5;m;1
Yunus;5;m;1
Zain;5;m;1
Carlotta;5;w;2
Christel;5;w;2
Elisa;5;w;2
Helena;5;w;2
Louise;5;w;2
Margarete;5;w;2
Martha;5;w;2
Mathilda;5;w;2
Nur;5;w;2
Paulina;5;w;2
Sofie;5;w;2
Bruno;5;m;2
Christian;5;m;2
Emilian;5;m;2
Emilio;5;m;2
Frederik;5;m;2
Friedrich;5;m;2
Fritz;5;m;2
Henry;5;m;2
Jürgen;5;m;2
Malik;5;m;2
Oskar;5;m;2
Philipp;5;m;2
Raphael;5;m;2
Robert;5;m;2
Samuel;5;m;2
Stefan;5;m;2
Wilhelm;5;m;2
Friedrich;5;m;3
Alessia;4;w;1
Alva;4;w;1
Amal;4;w;1
Annika;4;w;1
Asel;4;w;1
Aylin;4;w;1
Carlotta;4;w;1
Clea;4;w;1
Elea;4;w;1
Eliana;4;w;1
Evelyn;4;w;1
Fatima;4;w;1
Flora;4;w;1
Hafsa;4;w;1
Hira;4;w;1
Jara;4;w;1
Jasmin;4;w;1
Kaya;4;w;1
Layla;4;w;1
Leyla;4;w;1
Liah;4;w;1
Lisa;4;w;1
Liva;4;w;1
Liyana;4;w;1
Lynn;4;w;1
Maila;4;w;1
Marleen;4;w;1
Mathea;4;w;1
Mayra;4;w;1
Miriam;4;w;1
Mona;4;w;1
Naemi;4;w;1
Naomi;4;w;1
Narin;4;w;1
Noelia;4;w;1
Philippa;4;w;1
Selma;4;w;1
Valentina;4;w;1
Viktoria;4;w;1
Yuna;4;w;1
Abdullah;4;m;1
Adem;4;m;1
Ahmed;4;m;1
Alessio;4;m;1
Amin;4;m;1
Anas;4;m;1
Artur;4;m;1
Azad;4;m;1
Benedikt;4;m;1
Benno;4;m;1
Christian;4;m;1
Diego;4;m;1
Eliah;4;m;1
Fabian;4;m;1
Franz;4;m;1
Friedrich;4;m;1
Fynn;4;m;1
Harun;4;m;1
Henrik;4;m;1
Ian;4;m;1
Isa;4;m;1
Janosch;4;m;1
Jari;4;m;1
Jonne;4;m;1
Josef;4;m;1
Kai;4;m;1
Kian;4;m;1
Leander;4;m;1
Lenn;4;m;1
Lennard;4;m;1
Lian;4;m;1
Lias;4;m;1
Magnus;4;m;1
Matthias;4;m;1
Matti;4;m;1
Michael;4;m;1
Miron;4;m;1
Mohamad;4;m;1
Nevio;4;m;1
Nicolas;4;m;1
Oliver;4;m;1
Pablo;4;m;1
Phil;4;m;1
Taha;4;m;1
Thilo;4;m;1
Timo;4;m;1
Valentino;4;m;1
Zakaria;4;m;1
Anne;4;w;2
Cecilia;4;w;2
Clara;4;w;2
Emma;4;w;2
Estelle;4;w;2
Florentine;4;w;2
Franziska;4;w;2
Josephine;4;w;2
Leni;4;w;2
Lina;4;w;2
Louisa;4;w;2
Luna;4;w;2
Malia;4;w;2
Rosa;4;w;2
Rosalie;4;w;2
Antonio;4;m;2
Can;4;m;2
Carl;4;m;2
Constantin;4;m;2
Eliah;4;m;2
Emanuel;4;m;2
Franz;4;m;2
Hans;4;m;2
Jasper;4;m;2
Joel;4;m;2
Jonathan;4;m;2
Julian;4;m;2
Kasimir;4;m;2
Konstantin;4;m;2
Leonard;4;m;2
Liam;4;m;2
Miguel;4;m;2
Nicolas;4;m;2
Rafael;4;m;2
Ralf;4;m;2
Theodor;4;m;2
Titus;4;m;2
William;4;m;2
Katharina;4;w;3
Aleyna;3;w;1
Aliya;3;w;1
Alya;3;w;1
Ana;3;w;1
Anisa;3;w;1
Annie;3;w;1
Azra;3;w;1
Bayan;3;w;1
Bella;3;w;1
Celine;3;w;1
Cleo;3;w;1
Daria;3;w;1
Elisabeth;3;w;1
Ellie;3;w;1
Emilie;3;w;1
Enna;3;w;1
Fatma;3;w;1
Greta;3;w;1
Hailey;3;w;1
Hana;3;w;1
Havin;3;w;1
Hazal;3;w;1
Holly;3;w;1
Imani;3;w;1
Isabel;3;w;1
Iva;3;w;1
Jette;3;w;1
Kaia;3;w;1
Karla;3;w;1
Kiana;3;w;1
Lilith;3;w;1
Lily;3;w;1
Linn;3;w;1
Lorena;3;w;1
Magdalena;3;w;1
Majvi;3;w;1
Malena;3;w;1
Mariella;3;w;1
Marielle;3;w;1
Marta;3;w;1
Melissa;3;w;1
Milena;3;w;1
Milla;3;w;1
Nala;3;w;1
Nayla;3;w;1
Nela;3;w;1
Nicole;3;w;1
Nisa;3;w;1
Noura;3;w;1
Nova;3;w;1
Philine;3;w;1
Rita;3;w;1
Safiya;3;w;1
Sonia;3;w;1
Xenia;3;w;1
Yara;3;w;1
Yasmin;3;w;1
Yousra;3;w;1
Yüsra;3;w;1
Zoey;3;w;1
Ador;3;m;1
Aiden;3;m;1
Alan;3;m;1
Aras;3;m;1
Arne;3;m;1
August;3;m;1
Ayman;3;m;1
Ayoub;3;m;1
Baran;3;m;1
Bene;3;m;1
Berat;3;m;1
Björn;3;m;1
Charlie;3;m;1
Davud;3;m;1
Diyan;3;m;1
Dominik;3;m;1
Elia;3;m;1
Elyas;3;m;1
Fabio;3;m;1
Florian;3;m;1
Frederick;3;m;1
Hasan;3;m;1
Henning;3;m;1
Hugo;3;m;1
Idris;3;m;1
Ilias;3;m;1
Jakov;3;m;1
James;3;m;1
Jayden;3;m;1
Joel;3;m;1
Joris;3;m;1
Junis;3;m;1
Kalle;3;m;1
Keno;3;m;1
Lars;3;m;1
Leandro;3;m;1
Lennart;3;m;1
Leonhard;3;m;1
Leopold;3;m;1
Liano;3;m;1
Luc;3;m;1
Lucas;3;m;1
Ludwig;3;m;1
Mahir;3;m;1
Mailo;3;m;1
Manuel;3;m;1
Marcel;3;m;1
Mattis;3;m;1
Mikael;3;m;1
Mikail;3;m;1
Milian;3;m;1
Nassim;3;m;1
Nelio;3;m;1
Nicolò;3;m;1
Nikita;3;m;1
Noa;3;m;1
Rayan;3;m;1
Robin;3;m;1
Sami;3;m;1
Samu;3;m;1
Sandro;3;m;1
Sebastian;3;m;1
Teo;3;m;1
Thomas;3;m;1
Tobias;3;m;1
William;3;m;1
Yanis;3;m;1
Yassin;3;m;1
Youssef;3;m;1
Çınar;3;m;1
Amalia;3;w;2
Amelia;3;w;2
Amira;3;w;2
Carolina;3;w;2
Christina;3;w;2
Dua;3;w;2
Elena;3;w;2
Emilie;3;w;2
Erika;3;w;2
Felicitas;3;w;2
Freya;3;w;2
Frieda;3;w;2
Gabriela;3;w;2
Grace;3;w;2
Helene;3;w;2
Helga;3;w;2
Kaur;3;w;2
Klara;3;w;2
Lucia;3;w;2
Matilda;3;w;2
Mihrimah;3;w;2
Olivia;3;w;2
Paula;3;w;2
Pauline;3;w;2
Sofia;3;w;2
Viktoria;3;w;2
Adrian;3;m;2
Amin;3;m;2
Emin;3;m;2
Eric;3;m;2
Fabian;3;m;2
Florian;3;m;2
Han;3;m;2
Heinrich;3;m;2
Jacob;3;m;2
Jan;3;m;2
Jannis;3;m;2
Jonah;3;m;2
Jonas;3;m;2
José;3;m;2
Junior;3;m;2
Kaan;3;m;2
Kilian;3;m;2
Konrad;3;m;2
Leander;3;m;2
Leano;3;m;2
Lorenz;3;m;2
Maria;3;m;2
Mateo;3;m;2
Maxim;3;m;2
Milan;3;m;2
Mohammed;3;m;2
Mustafa;3;m;2
Nico;3;m;2
Nima;3;m;2
Noel;3;m;2
Oliver;3;m;2
Otto;3;m;2
Richard;3;m;2
Rudolf;3;m;2
Werner;3;m;2
Zayn;3;m;2
Charlotte;3;w;3
Georg;3;m;3
Josef;3;m;3
Louis;3;m;3
Maria;3;m;3
Peter;3;m;3
Wilhelm;3;m;3
Abigail;2;w;1
Adelina;2;w;1
Adriana;2;w;1
Aicha;2;w;1
Alaya;2;w;1
Alba;2;w;1
Alejna;2;w;1
Alena;2;w;1
Alexandra;2;w;1
Alia;2;w;1
Alicia;2;w;1
Alin;2;w;1
Alisha;2;w;1
Aliyah;2;w;1
Amaia;2;w;1
Amani;2;w;1
Amine;2;w;1
Amy;2;w;1
Andrea;2;w;1
Angelina;2;w;1
Anja;2;w;1
Annabelle;2;w;1
Annamaria;2;w;1
Aria;2;w;1
Ariana;2;w;1
Ariane;2;w;1
Arjin;2;w;1
Arya;2;w;1
Asiya;2;w;1
Barfin;2;w;1
Briana;2;w;1
Buna;2;w;1
Camila;2;w;1
Carolina;2;w;1
Ceylin;2;w;1
Chiara;2;w;1
Claire;2;w;1
Dalia;2;w;1
Dea;2;w;1
Dilyana;2;w;1
Dorothea;2;w;1
Eleni;2;w;1
Eleonore;2;w;1
Elin;2;w;1
Elise;2;w;1
Eliz;2;w;1
Elizabeth;2;w;1
Ellen;2;w;1
Eloise;2;w;1
Elsa;2;w;1
Elva;2;w;1
Ema;2;w;1
Emmy;2;w;1
Enya;2;w;1
Esraa;2;w;1
Ewa;2;w;1
Felicia;2;w;1
Felina;2;w;1
Fine;2;w;1
Grace;2;w;1
Hadia;2;w;1
Hanin;2;w;1
Haylie;2;w;1
Helen;2;w;1
Hevi;2;w;1
Hiba;2;w;1
Hilal;2;w;1
Iman;2;w;1
Isra;2;w;1
İkra;2;w;1
Jane;2;w;1
Jolina;2;w;1
Josefine;2;w;1
Josie;2;w;1
Juliana;2;w;1
Kaila;2;w;1
Kalea;2;w;1
Karlotta;2;w;1
Kim;2;w;1
Laila;2;w;1
Lalla;2;w;1
Lani;2;w;1
Lea-Marie;2;w;1
Leah;2;w;1
Leandra;2;w;1
Lene;2;w;1
Liara;2;w;1
Lilia;2;w;1
Lilian;2;w;1
Linnéa;2;w;1
Liz;2;w;1
Lora;2;w;1
Louise;2;w;1
Luca;2;w;1
Lucy;2;w;1
Lya;2;w;1
Madina;2;w;1
Malin;2;w;1
Malu;2;w;1
Marisa;2;w;1
Marit;2;w;1
Marlena;2;w;1
Marlie;2;w;1
Marwa;2;w;1
Masal;2;w;1
Matina;2;w;1
Mayla;2;w;1
Meggy;2;w;1
Melek;2;w;1
Melia;2;w;1
Meryem;2;w;1
Meva;2;w;1
Mihra;2;w;1
Milou;2;w;1
Nieke;2;w;1
Nika;2;w;1
Nike;2;w;1
Nil;2;w;1
Nila;2;w;1
Pheline;2;w;1
Philina;2;w;1
Polina;2;w;1
Polly;2;w;1
Romina;2;w;1
Ruby;2;w;1
Safaa;2;w;1
Samira;2;w;1
Selin;2;w;1
Sila;2;w;1
Stefania;2;w;1
Stella;2;w;1
Svea;2;w;1
Tabea;2;w;1
Talin;2;w;1
Teresa;2;w;1
Tessa;2;w;1
Torvi;2;w;1
Tuana;2;w;1
Vera;2;w;1
Viola;2;w;1
Vivien;2;w;1
Yamila;2;w;1
Ylvie;2;w;1
Zainab;2;w;1
Abdulrahman;2;m;1
Ahad;2;m;1
Aidan;2;m;1
Akram;2;m;1
Albert;2;m;1
Alessandro;2;m;1
Alexandros;2;m;1
Alparslan;2;m;1
Alperen;2;m;1
Amaan;2;m;1
Amos;2;m;1
Anis;2;m;1
Antonius;2;m;1
Aren;2;m;1
Ari;2;m;1
Arjen;2;m;1
Aron;2;m;1
Arthur;2;m;1
Arvid;2;m;1
Aurelian;2;m;1
Aurelius;2;m;1
Aykan;2;m;1
Benedict;2;m;1
Bilal;2;m;1
Carlos;2;m;1
Caspar;2;m;1
Cem;2;m;1
Charles;2;m;1
Colin;2;m;1
Danny;2;m;1
Deen;2;m;1
Demian;2;m;1
Deniz;2;m;1
Diar;2;m;1
Diyar;2;m;1
Ediz;2;m;1
Elijah;2;m;1
Elio;2;m;1
Emanuel;2;m;1
Emin;2;m;1
Enes;2;m;1
Enzo;2;m;1
