vorname;anzahl;geschlecht;position
Marie;86;w;2
Sophie;75;w;2
Noah;50;m;1
Emilia;46;w;1
Maria;45;w;2
Jonas;43;m;1
Felix;42;m;1
Anna;41;w;1
Alexander;40;m;2
Emma;39;w;1
Leon;39;m;1
Mia;39;w;1
Emil;37;m;1
Paul;37;m;1
Mila;36;w;1
Jakob;36;m;1
Lea;35;w;1
Marie;34;w;1
Ben;34;m;1
Maximilian;33;m;2
Sophia;33;w;1
Maximilian;33;m;1
Charlotte;32;w;1
Sophie;32;w;1
Clara;30;w;1
Lina;30;w;1
Elias;29;m;1
Julian;29;m;1
Jonathan;28;m;1
Lukas;28;m;1
Lena;27;w;1
Finn;27;m;1
Henry;27;m;1
Theo;27;m;1
Leni;26;w;1
David;26;m;1
Luca;26;m;1
Luis;26;m;1
Oskar;26;m;1
Mats;25;m;1
Elisabeth;24;w;2
Paula;24;w;1
Leonie;23;w;1
Alexander;23;m;1
Leo;23;m;1
Liam;23;m;1
Luisa;22;w;1
Nele;22;w;1
Adam;22;m;1
Paul;21;m;2
Marlene;21;w;1
Mira;21;w;1
Anton;21;m;1
Karl;21;m;1
Leonard;21;m;1
Niklas;21;m;1
Tom;21;m;1
Charlotte;20;w;2
Ida;20;w;1
Laura;20;w;1
Lia;20;w;1
Johann;20;m;1
Louis;20;m;1
Milan;20;m;1
Moritz;20;m;1
Theodor;20;m;1
Johanna;19;w;1
Maria;19;w;1
Emilia;18;w;2
Katharina;18;w;2
Amelie;18;w;1
Hannah;18;w;1
Max;18;m;1
Anton;17;m;2
Maja;17;w;1
Miran;17;m;1
Hanna;16;w;1
Sofia;16;w;1
Benjamin;16;m;1
Jan;16;m;1
Samuel;16;m;1
Lotta;15;w;1
Nora;15;w;1
Daniel;15;m;1
Levi;15;m;1
Matteo;15;m;1
Maxim;15;m;1
Mika;15;m;1
Mohamed;15;m;1
David;14;m;2
Elisa;14;w;1
Ella;14;w;1
Emily;14;w;1
Frida;14;w;1
Julia;14;w;1
Lara;14;w;1
Mina;14;w;1
Sara;14;w;1
Julius;14;m;1
Konstantin;14;m;1
Benjamin;13;m;2
Luise;13;w;2
Ava;13;w;1
Helena;13;w;1
Jana;13;w;1
Klara;13;w;1
Adrian;13;m;1
Fabian;13;m;1
Malik;13;m;1
Leonard;12;m;2
Anna;12;w;2
Johanna;12;w;2
Sofia;12;w;2
Alina;12;w;1
Amalia;12;w;1
Antonia;12;w;1
Isabella;12;w;1
Lilly;12;w;1
Aaron;12;m;1
Erik;12;m;1
Gabriel;12;m;1
Jonah;12;m;1
Linus;12;m;1
Malte;12;m;1
Tim;12;m;1
Emil;11;m;2
Karl;11;m;2
Michael;11;m;2
Carla;11;w;1
Elena;11;w;1
Frieda;11;w;1
Louisa;11;w;1
Merle;11;w;1
Olivia;11;w;1
Thea;11;w;1
Emilio;11;m;1
Ibrahim;11;m;1
Philipp;11;m;1
Valentin;11;m;1
Elias;10;m;2
Victoria;10;w;2
Amira;10;w;1
Carlotta;10;w;1
Elina;10;w;1
Lisa;10;w;1
Mathilda;10;w;1
Maya;10;w;1
Arthur;10;m;1
Sarah;10;w;1
Carl;10;m;1
Carlo;10;m;1
Hamza;10;m;1
Henri;10;m;1
Joshua;10;m;1
Lennard;10;m;1
Lian;10;m;1
Friedrich;9;m;2
Johann;9;m;2
Sophia;9;w;2
Johannes;9;m;2
Liam;9;m;2
Noel;9;m;2
Linda;9;w;1
Liya;9;w;1
Luise;9;w;1
Paulina;9;w;1
Pauline;9;w;1
Constantin;9;m;1
Frederik;9;m;1
Jona;9;m;1
Lasse;9;m;1
Ludwig;9;m;1
Michael;9;m;1
Nils;9;m;1
Ole;9;m;1
Sam;9;m;1
Simon;9;m;1
Till;9;m;1
Toni;9;m;1
Yusuf;9;m;1
Josephine;8;w;2
Lea;8;w;2
Mathilda;8;w;2
Albert;8;m;2
Valentina;8;w;2
Henri;8;m;2
Leon;8;m;2
Matthias;8;m;2
Philipp;8;m;2
Valentin;8;m;2
Aurelia;8;w;1
Ayla;8;w;1
Cleo;8;w;1
Franziska;8;w;1
Jasmin;8;w;1
Lilli;8;w;1
Matilda;8;w;1
Romy;8;w;1
Victoria;8;w;1
Benno;8;m;1
Christian;8;m;1
Enno;8;m;1
Ilyas;8;m;1
Kilian;8;m;1
Mateo;8;m;1
Mattis;8;m;1
Musa;8;m;1
Nicolas;8;m;1
Omar;8;m;1
Elisabeth;7;w;3
Sophie;7;w;3
Antonia;7;w;2
Christin;7;w;2
Elisa;7;w;2
Nur;7;w;2
Sofie;7;w;2
Ferdinand;7;m;2
Theresa;7;w;2
Franz;7;m;2
Gabriel;7;m;2
Georg;7;m;2
Heinrich;7;m;2
Henry;7;m;2
Jan;7;m;2
Jonas;7;m;2
Jonathan;7;m;2
Leo;7;m;2
Ludwig;7;m;2
Matteo;7;m;2
Samuel;7;m;2
Amina;7;w;1
Flora;7;w;1
Josefine;7;w;1
Josephine;7;w;1
Juna;7;w;1
Karla;7;w;1
Layan;7;w;1
Liana;7;w;1
Lotte;7;w;1
Maila;7;w;1
Mara;7;w;1
Medina;7;w;1
Melina;7;w;1
Rosa;7;w;1
Theresa;7;w;1
Tilda;7;w;1
Benedikt;7;m;1
Yuna;7;w;1
Bruno;7;m;1
Zoe;7;w;1
Fiete;7;m;1
Friedrich;7;m;1
Hannes;7;m;1
Jannik;7;m;1
Jannis;7;m;1
Rayan;7;m;1
Richard;7;m;1
Vincent;7;m;1
Christine;6;w;2
Clara;6;w;2
Dorothea;6;w;2
Elise;6;w;2
Helene;6;w;2
Josefine;6;w;2
Lina;6;w;2
Louise;6;w;2
