vorname;anzahl;geschlecht
Marie;144;w
Sophie;140;w
Maria;97;w
Alexander;96;m
Maximilian;72;m
Elias;61;m
Noah;59;m
Emilia;59;w
Charlotte;58;w
Anna;56;w
David;55;m
Jonas;55;m
Paul;55;m
Mia;54;w
Jan;52;m
Emma;51;w
Anton;51;m
Johanna;50;w
Jakob;50;m
Felix;46;m
Sophia;45;w
Katharina;44;w
Lina;42;w
Ben;38;m
Emil;38;m
Clara;38;w
Lukas;37;m
Lena;36;w
Jonathan;36;m
Leon;36;m
Philipp;35;m
Tim;34;m
Laura;33;w
Lea;33;w
Julian;33;m
Emily;32;w
Daniel;31;m
Julius;31;m
Ida;30;w
Julia;30;w
Mila;30;w
Elisabeth;29;w
Benjamin;29;m
Luise;29;w
Max;29;m
Niklas;29;m
Hanna;28;w
Luisa;28;w
Johannes;28;m
Leo;28;m
Fabian;27;m
Leonard;27;m
Vincent;27;m
Amelie;26;w
Hannah;26;w
Sofia;26;w
Finn;26;m
Johann;26;m
Moritz;26;m
Henri;25;m
Louis;25;m
Mathilda;24;w
Erik;24;m
Elisa;23;w
Marlene;23;w
Florian;23;m
Luca;23;m
Samuel;23;m
Greta;22;w
Leonie;22;w
Adam;22;m
Liam;22;m
Elif;21;w
Paula;21;w
Benedikt;21;m
Luis;21;m
Tom;21;m
Helena;20;w
Josephine;20;w
Victoria;20;w
Simon;20;m
Theo;20;m
Ella;19;w
Louisa;19;w
Mohamed;19;m
Sarah;18;w
Christian;18;m
Gabriel;18;m
Michael;18;m
Oskar;18;m
Lara;17;w
Nora;17;w
Constantin;17;m
Friedrich;17;m
Justus;17;m
Karl;17;m
Matthias;17;m
Milan;17;m
Theodor;17;m
Annika;16;w
Ferdinand;16;m
Henry;16;m
Mats;16;m
Maxim;16;m
Tobias;16;m
Elena;15;w
Eva;15;w
Isabella;15;w
Josefine;15;w
Leni;15;w
Joel;15;m
Konstantin;15;m
Levi;15;m
Valentin;15;m
Amira;14;w
Antonia;14;w
Frieda;14;w
Lotta;14;w
Nele;14;w
Pia;14;w
Ali;14;m
Carl;14;m
Frederik;14;m
Jonah;14;m
Joshua;14;m
Lennart;14;m
Linus;14;m
Ole;14;m
Elise;13;w
Franziska;13;w
Helene;13;w
Lia;13;w
Matilda;13;w
Georg;13;m
Sebastian;13;m
Amalia;12;w
Carla;12;w
Carlotta;12;w
Isabel;12;w
Maya;12;w
Theresa;12;w
Lennard;12;m
Luke;12;m
Mattis;12;m
Nils;12;m
Peter;12;m
Raphael;12;m
Alexandra;11;w
Fiona;11;w
Frida;11;w
Lilly;11;w
Maja;11;w
Merle;11;w
Mira;11;w
Sara;11;w
Valentina;11;w
Aaron;11;m
Adrian;11;m
Amin;11;m
Fynn;11;m
Jasper;11;m
Josef;11;m
Malik;11;m
Matteo;11;m
Mohammed;11;m
Timo;11;m
Amelia;10;w
Anastasia;10;w
Emely;10;w
Lisa;10;w
Lucia;10;w
Paulina;10;w
Pauline;10;w
Sina;10;w
Tilda;10;w
Hamza;10;m
Ibrahim;10;m
Lucas;10;m
Noel;10;m
Philip;10;m
Wilhelm;10;m
Amina;9;w
Ava;9;w
Isabelle;9;w
Melina;9;w
Miriam;9;w
Sofie;9;w
Andreas;9;m
Can;9;m
Jannis;9;m
Jona;9;m
Lasse;9;m
Manuel;9;m
Martin;9;m
Nick;9;m
Rafael;9;m
Robert;9;m
Till;9;m
Titus;9;m
Barbara;8;w
Diana;8;w
Jana;8;w
Jasmin;8;w
Joleen;8;w
Luna;8;w
Melissa;8;w
Nina;8;w
Romy;8;w
Rosa;8;w
Rose;8;w
Teresa;8;w
Zoe;8;w
Bruno;8;m
Emilio;8;m
Hassan;8;m
Kilian;8;m
Levin;8;m
Marc;8;m
Michel;8;m
Mika;8;m
Muhammed;8;m
Nicolas;8;m
Omar;8;m
Rayan;8;m
Robin;8;m
Thomas;8;m
Yusuf;8;m
Alina;7;w
Angelina;7;w
Aurelia;7;w
Caroline;7;w
Christina;7;w
Emilie;7;w
Florentine;7;w
Jule;7;w
Juli;7;w
Julie;7;w
Luana;7;w
Margarete;7;w
Mariam;7;w
Marla;7;w
Martha;7;w
Medina;7;w
Rosalie;7;w
Stella;7;w
Zeynep;7;w
Arthur;7;m
Artur;7;m
Benedict;7;m
Christoph;7;m
Damian;7;m
Dominik;7;m
Franz;7;m
Fritz;7;m
Ilias;7;m
Konrad;7;m
Leonardo;7;m
Leopold;7;m
Magnus;7;m
Mustafa;7;m
Oliver;7;m
Sam;7;m
Annabelle;6;w
Anouk;6;w
Fatima;6;w
Felicitas;6;w
Freya;6;w
Grace;6;w
Karlotta;6;w
Kristin;6;w
Liana;6;w
Lotte;6;w
Madita;6;w
Magdalena;6;w
Melek;6;w
Mina;6;w
Mona;6;w
Nur;6;w
Ronja;6;w
Thea;6;w
Albert;6;m
Amir;6;m
Arne;6;m
Clemens;6;m
Elyas;6;m
Hannes;6;m
Hendrik;6;m
Jacob;6;m
Kai;6;m
Kian;6;m
Lars;6;m
Mateo;6;m
Mathis;6;m
Mohammad;6;m
Nico;6;m
Nikita;6;m
Richard;6;m
Selim;6;m
Silas;6;m
Viktor;6;m
William;6;m
Yassin;6;m
Ömer;6;m
Alessia;5;w
Anni;5;w
Carolin;5;w
Celina;5;w
Christin;5;w
Elsa;5;w
Friederike;5;w
Hira;5;w
Jessica;5;w
Klara;5;w
Leyla;5;w
Lilli;5;w
Liv;5;w
Louise;5;w
Lynn;5;w
Malin;5;w
Mara;5;w
Mariella;5;w
Marlena;5;w
Milena;5;w
Noemi;5;w
Tamina;5;w
Tessa;5;w
Viktoria;5;w
Zoé;5;w
Ahmed;5;m
Antonio;5;m
Ayman;5;m
Berat;5;m
Christopher;5;m
Enno;5;m
Gustav;5;m
Henrik;5;m
Jamie;5;m
Joachim;5;m
John;5;m
Kaan;5;m
Leander;5;m
Leonhard;5;m
Lias;5;m
Malte;5;m
Marcel;5;m
Marlon;5;m
Marvin;5;m
Miran;5;m
Muhammad;5;m
Nathan;5;m
Sami;5;m
Stefan;5;m
Ulrich;5;m
Victor;5;m
Yasin;5;m
Younes;5;m
Yunus;5;m
Adele;4;w
Alice;4;w
Alma;4;w
Alva;4;w
Annabel;4;w
Aylin;4;w
Cecilia;4;w
Celine;4;w
Chiara;4;w
Christine;4;w
Dana;4;w
Daria;4;w
Dina;4;w
Edith;4;w
Elina;4;w
Enna;4;w
Erika;4;w
Esila;4;w
Esther;4;w
Hana;4;w
Isabell;4;w
Janna;4;w
Jette;4;w
Jolie;4;w
Jonna;4;w
Kira;4;w
Lana;4;w
Leah;4;w
Lene;4;w
Ahmad;4;m
Linda;4;w
Alessio;4;m
Lou;4;w
Antonius;4;m
Lucy;4;w
Caspar;4;m
Marleen;4;w
Collin;4;m
Maryam;4;w
Conner;4;m
Mathilde;4;w
Efe;4;m
Michelle;4;w
Elia;4;m
Milana;4;w
Eliah;4;m
Nathalie;4;w
Emin;4;m
Nelly;4;w
Emre;4;m
Nicole;4;w
Enes;4;m
Nika;4;w
Ensar;4;m
noch;4;w
Frederick;4;m
Olivia;4;w
Gerhard;4;m
Philippa;4;w
Gregor;4;m
Salma;4;w
Ilja;4;m
Selin;4;w
Ilyas;4;m
Selina;4;w
Janne;4;m
Soraya;4;w
Jayden;4;m
Valeria;4;w
Jerome;4;m
Valerie;4;w
Joseph;4;m
Yara;4;w
Kenan;4;m
Yaren;4;w
Leif;4;m
Lenny;4;m
Lorenz;4;m
Ludwig;4;m
Luka;4;m
Maik;4;m
Maria;4;m
Mario;4;m
Marius;4;m
Mike;4;m
Milo;4;m
Nikolas;4;m
Patrick;4;m
Raffael;4;m
Roman;4;m
Semih;4;m
Willem;4;m
Youssef;4;m
Ada;3;w
Aimen;3;w
Alameen;3;w
Alba;3;w
Alexa;3;w
Alicia;3;w
Alisa;3;w
Alissa;3;w
Amal;3;w
Amy;3;w
Amélie;3;w
Andrea;3;w
Anissa;3;w
Annabell;3;w
Anne;3;w
Annelie;3;w
Annemarie;3;w
Arina;3;w
Abdullah;3;m
Ashley;3;w
Ahmet;3;m
Asya;3;w
Alessandro;3;m
Ayla;3;w
Alvin;3;m
Beyza;3;w
Amadeus;3;m
Brigitte;3;w
Anas;3;m
