vorname;anzahl;geschlecht;position
Marie;92;w;2
Sophie;78;w;2
Maria;61;w;2
Emilia;59;w;1
Alexander;50;m;2
Noah;45;m;1
Felix;43;m;1
Charlotte;43;w;1
Jonas;43;m;1
Ben;42;m;1
Paul;42;m;1
Emma;40;w;1
Lina;40;w;1
Lukas;38;m;1
Anna;37;w;1
Johanna;35;w;1
Jonathan;35;m;1
Marie;34;w;1
Jakob;34;m;1
Mia;34;w;1
Anton;33;m;1
Maximilian;33;m;1
Mila;32;w;1
Leon;31;m;1
Milan;30;m;1
Alexander;28;m;1
David;28;m;1
Emil;28;m;1
Ella;27;w;1
Lea;27;w;1
Leni;27;w;1
Finn;27;m;1
Leo;27;m;1
Theo;27;m;1
Luisa;26;w;1
Elias;26;m;1
Elias;25;m;2
Lena;25;w;1
Benjamin;25;m;1
Maximilian;24;m;2
Clara;24;w;1
Nora;24;w;1
Liam;24;m;1
Paul;23;m;2
Greta;23;w;1
Max;23;m;1
Luise;22;w;2
Amelie;22;w;1
Antonia;22;w;1
Ida;22;w;1
Daniel;22;m;1
Leonard;22;m;1
Isabella;21;w;1
Paula;21;w;1
Sophia;21;w;1
Sophie;21;w;1
Johanna;20;w;2
Adam;20;m;1
Lia;20;w;1
Henry;20;m;1
Jan;20;m;1
Mira;19;w;1
Julian;19;m;1
Felix;18;m;2
Charlotte;18;w;2
Katharina;18;w;2
Frieda;18;w;1
Hannah;18;w;1
Luis;18;m;1
Marlene;18;w;1
Mathilda;18;w;1
Sofia;18;w;1
Karl;17;m;1
Moritz;17;m;1
Niklas;17;m;1
Lara;17;w;1
Philipp;17;m;1
Nele;17;w;1
Theodor;17;m;1
Anton;16;m;2
Elisa;16;w;1
Levi;16;m;1
Emily;16;w;1
Linus;16;m;1
Mats;16;m;1
Matteo;16;m;1
Samuel;16;m;1
Valentin;16;m;1
Hanna;15;w;1
Fabian;15;m;1
Henri;15;m;1
Tim;15;m;1
Tom;15;m;1
Laura;14;w;1
Mara;14;w;1
Oskar;14;m;1
Simon;14;m;1
Vincent;14;m;1
Friedrich;13;m;2
Gabriel;13;m;2
Anna;13;w;2
Johann;13;m;2
Emilia;13;w;2
Johannes;13;m;2
Maria;13;w;1
Olivia;13;w;1
Pauline;13;w;1
Johannes;13;m;1
Luca;13;m;1
Elisabeth;12;w;2
Marlene;12;w;2
Helena;12;w;1
Jana;12;w;1
Juna;12;w;1
Leonie;12;w;1
Lisa;12;w;1
Maya;12;w;1
Sara;12;w;1
Thea;12;w;1
Johann;12;m;1
Louis;12;m;1
David;11;m;2
Emil;11;m;2
Leonard;11;m;2
Michael;11;m;2
Alina;11;w;1
Josephine;11;w;1
Amir;11;m;1
Julia;11;w;1
Gabriel;11;m;1
Klara;11;w;1
Julius;11;m;1
Louisa;11;w;1
Maja;11;w;1
Matilda;11;w;1
Sarah;11;w;1
Stella;11;w;1
Mathilda;10;w;2
Sophia;10;w;2
Christian;10;m;2
Aaron;10;m;1
Adrian;10;m;1
Carl;10;m;1
Fynn;10;m;1
Kian;10;m;1
Alma;10;w;1
Konstantin;10;m;1
Amira;10;w;1
Milo;10;m;1
Ava;10;w;1
Raphael;10;m;1
Elena;10;w;1
Robin;10;m;1
Elisabeth;10;w;1
Lotta;10;w;1
Melina;10;w;1
Pia;10;w;1
Romy;10;w;1
Ronja;10;w;1
Ida;9;w;2
Lina;9;w;2
Henry;9;m;2
Jan;9;m;2
Matteo;9;m;2
Matthias;9;m;2
Bruno;9;m;1
Emilio;9;m;1
Florian;9;m;1
Hannes;9;m;1
Justus;9;m;1
Lasse;9;m;1
Carla;9;w;1
Levin;9;m;1
Frida;9;w;1
Marlon;9;m;1
Katharina;9;w;1
Maxim;9;m;1
Liana;9;w;1
Mika;9;m;1
Lilly;9;w;1
Mohamed;9;m;1
Luna;9;w;1
Toni;9;m;1
Tilda;9;w;1
Yusuf;9;m;1
Maria;8;w;3
Antonia;8;w;2
Viktoria;8;w;2
Benjamin;8;m;2
Daniel;8;m;2
Leon;8;m;2
Levi;8;m;2
Samuel;8;m;2
Theodor;8;m;2
Thomas;8;m;2
Valentin;8;m;2
Anastasia;8;w;1
Arthur;8;m;1
Isabell;8;w;1
Benedikt;8;m;1
Rosa;8;w;1
Deniz;8;m;1
Victoria;8;w;1
Emir;8;m;1
Zoe;8;w;1
Jonah;8;m;1
Kilian;8;m;1
Lennard;8;m;1
Lio;8;m;1
Luan;8;m;1
Mateo;8;m;1
Mattis;8;m;1
Michael;8;m;1
Mohammad;8;m;1
Nick;8;m;1
Nicolas;8;m;1
Helene;7;w;2
Josephine;7;w;2
Victoria;7;w;2
Ben;7;m;2
Hendrik;7;m;2
Jonathan;7;m;2
Josef;7;m;2
Simon;7;m;2
Wilhelm;7;m;2
Amalia;7;w;1
Amina;7;w;1
Carlotta;7;w;1
Finja;7;w;1
Luise;7;w;1
Martha;7;w;1
Melissa;7;w;1
Meryem;7;w;1
Valentina;7;w;1
Enno;7;m;1
Erik;7;m;1
Frederik;7;m;1
Jannis;7;m;1
Joshua;7;m;1
Malik;7;m;1
Miran;7;m;1
Nico;7;m;1
Oliver;7;m;1
Piet;7;m;1
Timo;7;m;1
Yunus;7;m;1
Elisa;6;w;2
Elise;6;w;2
Juna;6;w;2
Luisa;6;w;2
Magdalena;6;w;2
Pauline;6;w;2
Rosa;6;w;2
Rose;6;w;2
Sofie;6;w;2
Erik;6;m;2
Jakob;6;m;2
Louis;6;m;2
Martin;6;m;2
Noah;6;m;2
Ole;6;m;2
Sebastian;6;m;2
Alva;6;w;1
Leana;6;w;1
Leyla;6;w;1
Liv;6;w;1
Liya;6;w;1
Lotte;6;w;1
Mariam;6;w;1
Maryam;6;w;1
Merle;6;w;1
Rebecca;6;w;1
Valerie;6;w;1
Yasmin;6;w;1
Ahmad;6;m;1
Damian;6;m;1
Ilyas;6;m;1
Jacob;6;m;1
John;6;m;1
Jona;6;m;1
Leonardo;6;m;1
Lias;6;m;1
Lino;6;m;1
Marc;6;m;1
Matti;6;m;1
Mio;6;m;1
Nael;6;m;1
Nathan;6;m;1
Neo;6;m;1
Till;6;m;1
Amalia;5;w;2
Carlotta;5;w;2
Elena;5;w;2
Lou;5;w;2
Lucia;5;w;2
Marlen;5;w;2
Mia;5;w;2
Paulina;5;w;2
Artur;5;m;2
Can;5;m;2
Carl;5;m;2
Christoph;5;m;2
Eliah;5;m;2
Henri;5;m;2
Julian;5;m;2
Karl;5;m;2
Liam;5;m;2
Moritz;5;m;2
Raphael;5;m;2
Richard;5;m;2
Theo;5;m;2
Ada;5;w;1
Amelia;5;w;1
Amy;5;w;1
Anni;5;w;1
Aurelia;5;w;1
Ayla;5;w;1
Clea;5;w;1
Diana;5;w;1
Ela;5;w;1
Eliana;5;w;1
Elli;5;w;1
Eva;5;w;1
Fiona;5;w;1
Flora;5;w;1
Isabel;5;w;1
Kira;5;w;1
Lana;5;w;1
Linda;5;w;1
Abdullah;5;m;1
Livia;5;w;1
Ali;5;m;1
Luana;5;w;1
Benno;5;m;1
Madita;5;w;1
Carlo;5;m;1
Maila;5;w;1
Christian;5;m;1
Malia;5;w;1
Dominik;5;m;1
Mina;5;w;1
Elian;5;m;1
Mona;5;w;1
Friedrich;5;m;1
Neele;5;w;1
Fritz;5;m;1
Nina;5;w;1
Hasan;5;m;1
Philippa;5;w;1
Ibrahim;5;m;1
Theresa;5;w;1
Jannik;5;m;1
Jaron;5;m;1
Kiyan;5;m;1
Konrad;5;m;1
Leopold;5;m;1
Malte;5;m;1
