vorname;anzahl;geschlecht;position
Marie;99;w;2
Sophie;98;w;2
Maria;63;w;2
Felix;52;m;1
Jonas;51;m;1
Emilia;49;w;1
Emma;49;w;1
Lina;48;w;1
Mia;48;w;1
Alexander;47;m;2
Leon;47;m;1
Noah;45;m;1
Anna;45;w;1
Paul;44;m;1
Mila;43;w;1
Anton;37;m;1
Ben;37;m;1
Maximilian;37;m;1
Johanna;36;w;1
Elias;36;m;1
Leonie;35;w;1
Julian;35;m;1
Clara;34;w;1
Luisa;34;w;1
David;34;m;1
Marie;34;w;1
Elisabeth;32;w;2
Lena;32;w;1
Alexander;31;m;1
Maximilian;30;m;2
Jonathan;30;m;1
Lea;30;w;1
Luis;29;m;1
Greta;28;w;1
Jan;28;m;1
Leo;28;m;1
Johanna;27;w;2
Emily;27;w;1
Ida;27;w;1
Jakob;27;m;1
Laura;27;w;1
Theo;27;m;1
Hannah;26;w;1
Luca;26;m;1
Henry;25;m;1
Charlotte;24;w;2
Emil;24;m;1
Finn;24;m;1
Julius;24;m;1
Lukas;24;m;1
Katharina;23;w;2
Sophie;23;w;1
Adam;23;m;1
Samuel;23;m;1
Tim;23;m;1
Leni;22;w;1
Maria;22;w;1
Paula;22;w;1
Leonard;22;m;1
Liam;22;m;1
Elias;21;m;2
Paul;21;m;2
Charlotte;21;w;1
Sarah;21;w;1
Aaron;21;m;1
Benjamin;21;m;1
Mats;21;m;1
Moritz;21;m;1
Ella;20;w;1
Hanna;20;w;1
Lotta;20;w;1
Sophia;20;w;1
Matteo;20;m;1
Luisa;19;w;2
Julia;19;w;1
Louis;19;m;1
Milan;19;m;1
Oskar;19;m;1
Tom;19;m;1
Anton;18;m;2
Luise;18;w;2
Sophia;18;w;2
Jana;18;w;1
Lia;18;w;1
Mira;18;w;1
Max;18;m;1
Niklas;18;m;1
Emil;17;m;2
Josef;17;m;2
Carla;17;w;1
Sara;17;w;1
Sofia;17;w;1
Karl;17;m;1
Linus;17;m;1
Theodor;17;m;1
Elisa;16;w;1
Frida;16;w;1
Isabella;16;w;1
Lisa;16;w;1
Marlene;16;w;1
Levi;16;m;1
Vincent;16;m;1
Felix;15;m;2
Friedrich;15;m;2
Amelie;15;w;1
Antonia;15;w;1
Mara;15;w;1
Daniel;15;m;1
Erik;15;m;1
Ole;15;m;1
Simon;15;m;1
Jonathan;14;m;2
Anna;14;w;2
Lara;14;w;1
Matilda;14;w;1
Nele;14;w;1
Nora;14;w;1
Henri;14;m;1
Timo;14;m;1
Jakob;13;m;2
Amelia;13;w;1
Diana;13;w;1
Frieda;13;w;1
Lasse;13;m;1
Mateo;13;m;1
Philipp;13;m;1
Johann;12;m;2
Carlotta;12;w;1
Elena;12;w;1
Lilly;12;w;1
Louisa;12;w;1
Benedikt;12;m;1
Maya;12;w;1
Fabian;12;m;1
Mina;12;w;1
Maxim;12;m;1
Paulina;12;w;1
Till;12;m;1
Pauline;12;w;1
Tobias;12;m;1
Emilia;11;w;2
David;11;m;2
Viktoria;11;w;2
Johannes;11;m;2
Luca;11;m;2
Matthias;11;m;2
Michael;11;m;2
Philipp;11;m;2
Valentin;11;m;2
Eva;11;w;1
Damian;11;m;1
Katharina;11;w;1
Johann;11;m;1
Klara;11;w;1
Valentin;11;m;1
Liana;11;w;1
Yusuf;11;m;1
Maja;11;w;1
Melina;11;w;1
Ali;10;m;2
Christian;10;m;2
Gabriel;10;m;2
Peter;10;m;2
Adrian;10;m;1
Amir;10;m;1
Amira;10;w;1
Gabriel;10;m;1
Juna;10;w;1
Johannes;10;m;1
Jonah;10;m;1
Mohamed;10;m;1
Oliver;10;m;1
Raphael;10;m;1
Maria;9;w;3
Benjamin;9;m;2
Leonard;9;m;2
Louis;9;m;2
Noah;9;m;2
Elina;9;w;1
Elisabeth;9;w;1
Fiona;9;w;1
Jule;9;w;1
Martha;9;w;1
Florian;9;m;1
Mathilda;9;w;1
Hamza;9;m;1
Romy;9;w;1
Joshua;9;m;1
Viktoria;9;w;1
Justus;9;m;1
Mika;9;m;1
Miran;9;m;1
Nick;9;m;1
Nico;9;m;1
Phil;9;m;1
Antonia;8;w;2
Barbara;8;w;2
Elisa;8;w;2
Marleen;8;w;2
Henri;8;m;2
Jonas;8;m;2
Robert;8;m;2
Sebastian;8;m;2
Wilhelm;8;m;2
Alicia;8;w;1
Annika;8;w;1
Elif;8;w;1
Elin;8;w;1
Luana;8;w;1
Luna;8;w;1
Frederik;8;m;1
Milana;8;w;1
Ilyas;8;m;1
Ronja;8;w;1
Ivan;8;m;1
Thea;8;w;1
Jannis;8;m;1
Tilda;8;w;1
Kilian;8;m;1
Konstantin;8;m;1
Lars;8;m;1
Luka;8;m;1
Malte;8;m;1
Mohammed;8;m;1
Muhammed;8;m;1
Robin;8;m;1
Yasin;8;m;1
Clara;7;w;2
Felicitas;7;w;2
Franziska;7;w;2
Josephine;7;w;2
Mia;7;w;2
Victoria;7;w;2
Antonio;7;m;2
Can;7;m;2
Frederik;7;m;2
Jan;7;m;2
Leon;7;m;2
Alina;7;w;1
Alma;7;w;1
Alva;7;w;1
Ava;7;w;1
Carolin;7;w;1
Elise;7;w;1
Elli;7;w;1
Finja;7;w;1
Helena;7;w;1
Constantin;7;m;1
Jasmin;7;w;1
Hugo;7;m;1
Julie;7;w;1
Janosch;7;m;1
Karla;7;w;1
Jona;7;m;1
Liv;7;w;1
Lias;7;m;1
Magdalena;7;w;1
Lucas;7;m;1
Marla;7;w;1
Marlon;7;m;1
Maryam;7;w;1
Matthias;7;m;1
Miriam;7;w;1
Mikail;7;m;1
Pia;7;w;1
Muhammad;7;m;1
Oscar;7;m;1
Rafael;7;m;1
Thomas;7;m;1
Ömer;7;m;1
Maria;6;m;3
Elisabeth;6;w;3
Marie;6;w;3
Elise;6;w;2
Helene;6;w;2
Isabella;6;w;2
Josefine;6;w;2
Julia;6;w;2
Leni;6;w;2
Louisa;6;w;2
Marlene;6;w;2
Mathilda;6;w;2
Mila;6;w;2
Paulina;6;w;2
Pauline;6;w;2
Ruth;6;w;2
Valentina;6;w;2
Andreas;6;m;2
Ben;6;m;2
Franz;6;m;2
Julius;6;m;2
Kaan;6;m;2
Karl;6;m;2
Leo;6;m;2
Ludwig;6;m;2
Lukas;6;m;2
Martin;6;m;2
Simon;6;m;2
Alissa;6;w;1
Amina;6;w;1
Anni;6;w;1
Ela;6;w;1
Franziska;6;w;1
Ali;6;m;1
Liliana;6;w;1
Amin;6;m;1
Lotte;6;w;1
Arian;6;m;1
Malina;6;w;1
Bilal;6;m;1
Philippa;6;w;1
Bruno;6;m;1
Zeynep;6;w;1
Can;6;m;1
Zoe;6;w;1
Elyas;6;m;1
Emilio;6;m;1
Fynn;6;m;1
Jacob;6;m;1
Jaron;6;m;1
Jason;6;m;1
Leander;6;m;1
Lian;6;m;1
Luan;6;m;1
Mattis;6;m;1
Milo;6;m;1
Mohammad;6;m;1
Nathan;6;m;1
Robert;6;m;1
Silas;6;m;1
Yassin;6;m;1
Younes;6;m;1
Isabel;5;w;2
Lina;5;w;2
Lotta;5;w;2
Lucia;5;w;2
Sofie;5;w;2
Theresa;5;w;2
Amin;5;m;2
Eric;5;m;2
Erik;5;m;2
Ferdinand;5;m;2
Florian;5;m;2
Joel;5;m;2
Klaus;5;m;2
Liam;5;m;2
Lio;5;m;2
Milan;5;m;2
Noel;5;m;2
Samuel;5;m;2
Thomas;5;m;2
Tiberius;5;m;2
Annabelle;5;w;1
Ariana;5;w;1
Azra;5;w;1
Barin;5;w;1
Emely;5;w;1
Felicitas;5;w;1
Isabelle;5;w;1
Lana;5;w;1
Lene;5;w;1
Leyla;5;w;1
Lilith;5;w;1
Lilli;5;w;1
Liya;5;w;1
Luise;5;w;1
Madita;5;w;1
Merle;5;w;1
Milena;5;w;1
Adriano;5;m;1
Mona;5;w;1
Ahmad;5;m;1
Olivia;5;w;1
Arthur;5;m;1
Victoria;5;w;1
Ayoub;5;m;1
Carlo;5;m;1
Elian;5;m;1
Enno;5;m;1
Eric;5;m;1
Ferdinand;5;m;1
Georg;5;m;1
Hannes;5;m;1
Hanno;5;m;1
Ibrahim;5;m;1
Jakub;5;m;1
Joel;5;m;1
Johan;5;m;1
Jonte;5;m;1
Kai;5;m;1
Kian;5;m;1
Leandro;5;m;1
Lenn;5;m;1
Levin;5;m;1
Lion;5;m;1
Luke;5;m;1
Michael;5;m;1
Mustafa;5;m;1
Neo;5;m;1
Nils;5;m;1
Pepe;5;m;1
Peter;5;m;1
Philip;5;m;1
Rayan;5;m;1
Sam;5;m;1
Tristan;5;m;1
William;5;m;1
Youssef;5;m;1
Alexander;4;m;3
Alva;4;w;2
Amelie;4;w;2
Anastasia;4;w;2
Dorothea;4;w;2
Elin;4;w;2
Emily;4;w;2
Emma;4;w;2
Friederike;4;w;2
Julie;4;w;2
Lotte;4;w;2
Michaela;4;w;2
Rosa;4;w;2
Su;4;w;2
Adrian;4;m;2
Albert;4;m;2
Armin;4;m;2
Carl;4;m;2
Daniel;4;m;2
Georg;4;m;2
Hans;4;m;2
Heinrich;4;m;2
Henry;4;m;2
Jacob;4;m;2
Joachim;4;m;2
Joshua;4;m;2
Justus;4;m;2
Konstantin;4;m;2
Leander;4;m;2
Manuel;4;m;2
Maxim;4;m;2
Moritz;4;m;2
Richard;4;m;2
Ryan;4;m;2
Tobias;4;m;2
Valentino;4;m;2
Vincent;4;m;2
Aliya;4;w;1
Amalia;4;w;1
Ana;4;w;1
Arina;4;w;1
Aurelia;4;w;1
Avesta;4;w;1
Celine;4;w;1
Edda;4;w;1
Fatima;4;w;1
Felina;4;w;1
Flora;4;w;1
Hana;4;w;1
Josefine;4;w;1
Josephine;4;w;1
Laila;4;w;1
Leila;4;w;1
Linda;4;w;1
Livia;4;w;1
Malia;4;w;1
Mariam;4;w;1
Melek;4;w;1
Melissa;4;w;1
Meryem;4;w;1
Nayla;4;w;1
Nela;4;w;1
Nika;4;w;1
Nina;4;w;1
Rosa;4;w;1
Sofie;4;w;1
Stella;4;w;1
Tessa;4;w;1
Theresa;4;w;1
Valerie;4;w;1
Abdullah;4;m;1
Yasmin;4;w;1
Alan;4;m;1
Alessio;4;m;1
Artur;4;m;1
Bela;4;m;1
Carl;4;m;1
Christian;4;m;1
Deniz;4;m;1
Diego;4;m;1
Dominik;4;m;1
Emilian;4;m;1
Emir;4;m;1
Ensar;4;m;1
Fabio;4;m;1
Friedrich;4;m;1
Gero;4;m;1
Henning;4;m;1
Jannes;4;m;1
Jannik;4;m;1
Jasper;4;m;1
Jayden;4;m;1
Joris;4;m;1
Josef;4;m;1
Lennard;4;m;1
Lennart;4;m;1
Lio;4;m;1
Ludwig;4;m;1
Mahdi;4;m;1
Malek;4;m;1
Manuel;4;m;1
Martin;4;m;1
Matti;4;m;1
Nael;4;m;1
Piet;4;m;1
Sami;4;m;1
Samu;4;m;1
Sebastian;4;m;1
Thiago;4;m;1
Thore;4;m;1
Toni;4;m;1
Karl;3;m;3
Michael;3;m;3
Luise;3;w;3
Mohammed;3;m;3
Nikolaus;3;m;3
Alexandra;3;w;2
Amalia;3;w;2
Anni;3;w;2
Anouk;3;w;2
Aylin;3;w;2
Carolina;3;w;2
Christin;3;w;2
Claudia;3;w;2
Elif;3;w;2
Eva;3;w;2
Greta;3;w;2
Henriette;3;w;2
Ida;3;w;2
Ioana;3;w;2
Isabell;3;w;2
Isabelle;3;w;2
Johanne;3;w;2
Jolie;3;w;2
Laura;3;w;2
Lea;3;w;2
Lena;3;w;2
Leonie;3;w;2
Louise;3;w;2
Maja;3;w;2
Malin;3;w;2
Malou;3;w;2
Margarete;3;w;2
Marlen;3;w;2
Melina;3;w;2
Adam;3;m;2
Monika;3;w;2
Alfred;3;m;2
Nur;3;w;2
Antonius;3;m;2
Patricia;3;w;2
Arthur;3;m;2
Regina;3;w;2
August;3;m;2
Yuna;3;w;2
Caspar;3;m;2
Clemens;3;m;2
Constantin;3;m;2
Emilian;3;m;2
Emmanuel;3;m;2
Gustav;3;m;2
Harald;3;m;2
Immanuel;3;m;2
Jens;3;m;2
John;3;m;2
Jonah;3;m;2
Julian;3;m;2
Kaspar;3;m;2
Kilian;3;m;2
Levi;3;m;2
Luis;3;m;2
Magnus;3;m;2
Markus;3;m;2
Marlon;3;m;2
Matteo;3;m;2
Nicolas;3;m;2
Noé;3;m;2
Oliver;3;m;2
Oskar;3;m;2
Otto;3;m;2
Raphael;3;m;2
Said;3;m;2
Uwe;3;m;2
Willi;3;m;2
Adriana;3;w;1
Alena;3;w;1
Alexandra;3;w;1
Alia;3;w;1
Aliyah;3;w;1
Amal;3;w;1
Amanda;3;w;1
Amara;3;w;1
Amilia;3;w;1
Annie;3;w;1
Asiya;3;w;1
Chiara;3;w;1
Dalia;3;w;1
Eleonora;3;w;1
Elissa;3;w;1
Ema;3;w;1
Emilie;3;w;1
Feline;3;w;1
Fenja;3;w;1
Friederike;3;w;1
Heidi;3;w;1
Helen;3;w;1
Isabel;3;w;1
Isabell;3;w;1
Janna;3;w;1
Juliana;3;w;1
Karina;3;w;1
Kira;3;w;1
Larissa;3;w;1
Laya;3;w;1
Leah;3;w;1
Leia;3;w;1
Lenia;3;w;1
Lenya;3;w;1
Leona;3;w;1
Lucia;3;w;1
Lucy;3;w;1
Mathilde;3;w;1
Mayla;3;w;1
Anas;3;m;1
Melanie;3;w;1
Aras;3;m;1
Mia-Sophie;3;w;1
Arved;3;m;1
Nala;3;w;1
Darius;3;m;1
Nour;3;w;1
Diar;3;m;1
Rabea;3;w;1
Elia;3;m;1
Rosalie;3;w;1
Eliah;3;m;1
Samira;3;w;1
Elijah;3;m;1
Selina;3;w;1
Eymen;3;m;1
Sila;3;w;1
Frederick;3;m;1
Sina;3;w;1
Gereon;3;m;1
Smilla;3;w;1
Hendrik;3;m;1
Susanna;3;w;1
Henrik;3;m;1
Tamina;3;w;1
Ian;3;m;1
Tara;3;w;1
Ilay;3;m;1
Vera;3;w;1
Ismail;3;m;1
Yara;3;w;1
Jesse;3;m;1
Zehra;3;w;1
John;3;m;1
Zoey;3;w;1
Kaan;3;m;1
Zoé;3;w;1
Kalle;3;m;1
Kenan;3;m;1
Konrad;3;m;1
Leonardo;3;m;1
Leonhard;3;m;1
Lionel;3;m;1
Mahmoud;3;m;1
Malik;3;m;1
Marc;3;m;1
Marvin;3;m;1
Matheo;3;m;1
Mathis;3;m;1
Mehmet;3;m;1
Mert;3;m;1
Mohamad;3;m;1
Nikita;3;m;1
Nikola;3;m;1
Nikolai;3;m;1
Noel;3;m;1
Omar;3;m;1
Poyraz;3;m;1
Richard;3;m;1
Rohan;3;m;1
Salim;3;m;1
Sandro;3;m;1
Sulaiman;3;m;1
Taim;3;m;1
Teodor;3;m;1
Thilo;3;m;1
Tyler;3;m;1
Valerian;3;m;1
Yakup;3;m;1
Yannik;3;m;1
Younis;3;m;1
Zakariya;3;m;1
Anna;2;w;4
Maria;2;w;4
Andrea;2;w;3
Anh;2;w;3
Aaron;2;m;3
Eleonore;2;w;3
