vorname;anzahl;geschlecht;position
Marie;103;w;2
Sophie;80;w;2
Noah;64;m;1
Maria;59;w;2
Alexander;50;m;2
Emilia;49;w;1
Leon;49;m;1
Leni;46;w;1
Anton;46;m;1
Ben;46;m;1
Paul;45;m;1
Lina;44;w;1
Elias;44;m;1
Felix;41;m;1
Maximilian;41;m;2
Maximilian;40;m;1
Charlotte;39;w;1
Mila;39;w;1
Marie;38;w;1
Emil;37;m;1
Jonas;37;m;1
Ella;36;w;1
Sophie;36;w;1
Jakob;36;m;1
Emma;35;w;1
Clara;34;w;1
Leonie;34;w;1
Hannah;33;w;1
Sophia;33;w;1
Johanna;32;w;1
Jonathan;32;m;1
Leo;32;m;1
Adam;31;m;1
Finn;31;m;1
Lukas;31;m;1
Theo;31;m;1
Ida;30;w;1
Lena;30;w;1
Marlene;30;w;1
Mia;30;w;1
Tom;30;m;1
Anna;29;w;1
Paul;29;m;2
Benjamin;28;m;1
Henry;28;m;1
Matteo;28;m;1
Emily;27;w;1
David;27;m;1
Luca;27;m;1
Oskar;27;m;1
Jonah;26;m;1
Liam;26;m;1
Lia;25;w;1
Milan;25;m;1
Moritz;25;m;1
Johanna;25;w;2
Elisa;24;w;1
Leonard;24;m;1
Louis;24;m;1
Mats;24;m;1
Max;24;m;1
Lea;23;w;1
Paula;23;w;1
Mathilda;22;w;1
Jan;22;m;1
Elisabeth;22;w;2
Luise;22;w;2
Karl;22;m;2
Luisa;21;w;1
Emilia;21;w;2
Anton;21;m;2
Nora;20;w;1
Levi;20;m;1
Samuel;20;m;1
Charlotte;20;w;2
Emil;20;m;2
Frieda;19;w;1
Hanna;19;w;1
Aaron;19;m;1
Alexander;19;m;1
Katharina;19;w;2
Sophia;19;w;2
Luna;18;w;1
Pauline;18;w;1
Luis;18;m;1
Alma;17;w;1
Johann;17;m;1
Jona;17;m;1
Joshua;17;m;1
Maxim;17;m;1
Philipp;17;m;1
Ali;17;m;2
Katharina;16;w;1
Lara;16;w;1
Mira;16;w;1
Romy;16;w;1
Sofia;16;w;1
Karl;16;m;1
Vincent;16;m;1
Anna;16;w;2
Amira;15;w;1
Isabella;15;w;1
Matilda;15;w;1
Nele;15;w;1
Henri;15;m;1
Linus;15;m;1
Niklas;15;m;1
Tim;15;m;1
Elias;15;m;2
Alina;14;w;1
Frida;14;w;1
Juna;14;w;1
Klara;14;w;1
Lotta;14;w;1
Louisa;14;w;1
Malia;14;w;1
Mara;14;w;1
Maria;14;w;1
Julian;14;m;1
Lio;14;m;1
Milo;14;m;1
Oliver;14;m;1
Valentin;14;m;1
Johann;14;m;2
Michael;14;m;2
Noah;14;m;2
Antonia;13;w;1
Julia;13;w;1
Zoe;13;w;1
Daniel;13;m;1
Yusuf;13;m;1
Elisa;13;w;2
Christian;13;m;2
Felix;13;m;2
Amelie;12;w;1
Ava;12;w;1
Lilly;12;w;1
Merle;12;w;1
Mina;12;w;1
Paulina;12;w;1
Tilda;12;w;1
Hamza;12;m;1
Kian;12;m;1
Levin;12;m;1
Malik;12;m;1
Nils;12;m;1
Lou;12;w;2
Valentina;12;w;2
David;12;m;2
Jakob;12;m;2
Johannes;12;m;2
Josef;12;m;2
Elina;11;w;1
Helena;11;w;1
Liana;11;w;1
Linda;11;w;1
Maya;11;w;1
Olivia;11;w;1
Thea;11;w;1
Carl;11;m;1
Carlo;11;m;1
Emilio;11;m;1
Frederik;11;m;1
Gabriel;11;m;1
Jasper;11;m;1
Marlon;11;m;1
Matheo;11;m;1
Matti;11;m;1
Mika;11;m;1
Nick;11;m;1
Nicolas;11;m;1
Robin;11;m;1
Theodor;11;m;1
Sofie;11;w;2
Carl;11;m;2
Heinrich;11;m;2
Matteo;11;m;2
Alva;10;w;1
Amalia;10;w;1
Carla;10;w;1
Jana;10;w;1
Laura;10;w;1
Liya;10;w;1
Lotte;10;w;1
Adrian;10;m;1
Bruno;10;m;1
Julius;10;m;1
Leander;10;m;1
Michael;10;m;1
Miran;10;m;1
Simon;10;m;1
Toni;10;m;1
Josephine;10;w;2
Louise;10;w;2
Daniel;10;m;2
Peter;10;m;2
Theodor;10;m;2
Maria;10;w;3
Ariana;9;w;1
Eva;9;w;1
Leyla;9;w;1
Lilia;9;w;1
Marla;9;w;1
Pia;9;w;1
Victoria;9;w;1
Constantin;9;m;1
Luka;9;m;1
Luke;9;m;1
Mateo;9;m;1
Raphael;9;m;1
Rayan;9;m;1
Sam;9;m;1
Timo;9;m;1
Mathilda;9;w;2
Emilio;9;m;2
Gabriel;9;m;2
Leo;9;m;2
Leon;9;m;2
Leonard;9;m;2
Valentin;9;m;2
Amina;8;w;1
Elif;8;w;1
Elisabeth;8;w;1
Finja;8;w;1
Karla;8;w;1
Lisa;8;w;1
Luana;8;w;1
Lucia;8;w;1
Maja;8;w;1
Malina;8;w;1
Melina;8;w;1
Melissa;8;w;1
Rosa;8;w;1
Rosalie;8;w;1
Sara;8;w;1
Sarah;8;w;1
Erik;8;m;1
Henrik;8;m;1
Jannis;8;m;1
Janosch;8;m;1
Lian;8;m;1
Luan;8;m;1
Mattis;8;m;1
Mohammed;8;m;1
Noel;8;m;1
Sebastian;8;m;1
Carlotta;8;w;2
Elise;8;w;2
Helena;8;w;2
Josefine;8;w;2
Marlene;8;w;2
Sofia;8;w;2
Friedrich;8;m;2
Georg;8;m;2
Henri;8;m;2
Jonathan;8;m;2
Julian;8;m;2
Konstantin;8;m;2
Martin;8;m;2
Philipp;8;m;2
Richard;8;m;2
Samuel;8;m;2
Wilhelm;8;m;2
Elisabeth;8;w;3
Sophie;8;w;3
Asya;7;w;1
Aurelia;7;w;1
Ayla;7;w;1
Eliana;7;w;1
Fiona;7;w;1
Josephine;7;w;1
Kira;7;w;1
Luise;7;w;1
Medina;7;w;1
Mona;7;w;1
Valentina;7;w;1
Yuna;7;w;1
Ali;7;m;1
Aras;7;m;1
Elyas;7;m;1
Fiete;7;m;1
Ilias;7;m;1
Ilyas;7;m;1
Jannik;7;m;1
Justus;7;m;1
Kilian;7;m;1
Lars;7;m;1
Leopold;7;m;1
Lias;7;m;1
Mark;7;m;1
Nathan;7;m;1
Ole;7;m;1
Till;7;m;1
Clara;7;w;2
Elena;7;w;2
Frieda;7;w;2
Leni;7;w;2
Lucia;7;w;2
Jan;7;m;2
Julius;7;m;2
Matthias;7;m;2
Moritz;7;m;2
Thomas;7;m;2
Alicia;6;w;1
Amelia;6;w;1
Carlotta;6;w;1
Chiara;6;w;1
Elena;6;w;1
Eleni;6;w;1
Isabelle;6;w;1
Lilli;6;w;1
Mariam;6;w;1
Martha;6;w;1
Milena;6;w;1
Nika;6;w;1
Ronja;6;w;1
Theresa;6;w;1
Amir;6;m;1
Bela;6;m;1
Benno;6;m;1
Elian;6;m;1
Emir;6;m;1
Fynn;6;m;1
Hannes;6;m;1
Jaron;6;m;1
John;6;m;1
Jonte;6;m;1
Kaan;6;m;1
Konrad;6;m;1
Lasse;6;m;1
Lennard;6;m;1
Lennart;6;m;1
Malte;6;m;1
Muhammed;6;m;1
Nael;6;m;1
Nico;6;m;1
Richard;6;m;1
Thilo;6;m;1
Ömer;6;m;1
Helene;6;w;2
Lena;6;w;2
Magdalena;6;w;2
Marleen;6;w;2
Nur;6;w;2
Victoria;6;w;2
Zoe;6;w;2
Ben;6;m;2
Ferdinand;6;m;2
Joel;6;m;2
Liam;6;m;2
Luca;6;m;2
Nael;6;m;2
Alea;5;w;1
Alissa;5;w;1
Alya;5;w;1
Amilia;5;w;1
Ana;5;w;1
Anastasia;5;w;1
Azra;5;w;1
Diana;5;w;1
Ela;5;w;1
Elise;5;w;1
Jasmin;5;w;1
Josefine;5;w;1
Kiara;5;w;1
Lana;5;w;1
Lene;5;w;1
Liliana;5;w;1
Lillian;5;w;1
Liyana;5;w;1
Lou;5;w;1
Louise;5;w;1
Malea;5;w;1
Malou;5;w;1
Mathea;5;w;1
Philippa;5;w;1
Pina;5;w;1
Ruby;5;w;1
Tara;5;w;1
Valerie;5;w;1
Vanessa;5;w;1
Viktoria;5;w;1
Viola;5;w;1
Benedikt;5;m;1
Bilal;5;m;1
Colin;5;m;1
Cosmo;5;m;1
Emilian;5;m;1
Enes;5;m;1
Enno;5;m;1
Fabian;5;m;1
Friedrich;5;m;1
Fritz;5;m;1
Ivan;5;m;1
Jacob;5;m;1
James;5;m;1
Jannes;5;m;1
Jaro;5;m;1
Johannes;5;m;1
Joris;5;m;1
Joscha;5;m;1
Josef;5;m;1
Kaspar;5;m;1
Lucas;5;m;1
Ludwig;5;m;1
Marius;5;m;1
Mio;5;m;1
Mohamed;5;m;1
Mohammad;5;m;1
Noa;5;m;1
Oscar;5;m;1
Piet;5;m;1
Yiğit;5;m;1
Zayn;5;m;1
Amelie;5;w;2
